sensor,score_ttest,rank_ttest,score_mutual_info,rank_mutual_info,score_l1_logistic,rank_l1_logistic,score_random_forest,rank_random_forest,score_shap,rank_shap,mean_rank,consensus_rank,stability,selected
sensor_054,1.0533190573811135,128.0,0.0,229.0,0.15637835339044548,33.0,0.002122220431809931,218.0,0.00111353982718814,203.0,162.2,173,0.0,False
sensor_228,0.8895678408921367,147.0,0.0,229.0,0.0,196.0,0.0037428026350649966,81.0,0.0013334707929883432,159.0,162.4,174,0.0,False
sensor_001,0.2512860396372095,234.0,0.0,229.0,0.07807185896615113,65.0,0.0029213181801652456,137.0,0.001397531666607841,148.0,162.6,175,0.0,False
sensor_439,1.3378617797485328,90.0,0.0,229.0,0.0,196.0,0.002598782940486245,166.0,0.0014849041772637141,133.0,162.8,176,0.0,False
sensor_164,2.037444645870773,44.0,0.0,229.0,0.0,196.0,0.0026333656432874736,162.0,0.001220894361663347,184.0,163.0,177,0.0,False
sensor_407,0.12400543527877692,251.0,0.0241232874804016,10.0,0.024866477864135803,94.0,0.0016493561803870922,245.0,0.0010357320417223358,215.0,163.0,178,0.0,False
sensor_120,0.39085595935704676,213.0,0.0017787684998251674,159.0,0.022845528559519372,97.0,0.002948155117269313,135.0,0.0010517659711203776,212.0,163.2,179,0.0,False
sensor_135,0.5711310521353956,182.0,0.0,229.0,0.0,196.0,0.0029926681705672777,130.0,0.001933363828060034,80.0,163.4,180,0.03333333333333333,False
sensor_198,1.133509162368007,112.0,0.0,229.0,0.0,196.0,0.0028124397375361015,150.0,0.0014939474754835677,132.0,163.8,181,0.0,False
sensor_015,0.0995327016990029,259.0,0.0002959807259892422,181.0,0.0,196.0,0.003451202678248597,94.0,0.0018255490725541258,90.0,164.0,182,0.0,False
sensor_088,0.48020129206497775,199.0,0.013327719699546714,63.0,0.0,196.0,0.002436694116947902,185.0,0.0012448685263475579,181.0,164.8,183,0.0,False
sensor_146,0.7249897614501207,165.0,0.003297548686590046,138.0,0.031086759496767646,89.0,0.001837640320010094,232.0,0.0011274348948459622,201.0,165.0,184,0.0,False
sensor_250,0.12244099441433176,252.0,0.005206737507114756,120.0,0.0,196.0,0.0028714876596593417,145.0,0.0015978355367493432,115.0,165.6,185,0.0,False
sensor_224,0.34193759679222646,221.0,0.00252893416929334,153.0,0.0,196.0,0.003034294939237979,125.0,0.0014540976809249368,137.0,166.4,186,0.0,False
sensor_423,0.8342742814628706,158.0,0.0,229.0,0.16588510701855763,31.0,0.002146489280063445,215.0,0.0011420547528963483,199.0,166.4,187,0.0,False
sensor_029,1.3086647007653345,95.0,0.0,229.0,0.0789802108497675,64.0,0.002013949335634747,227.0,0.0010189935634112666,219.0,166.8,188,0.0,False
sensor_511,1.3431354346582478,89.0,0.0,229.0,0.10623303626906437,48.0,0.0017324797315681642,238.0,0.0009398771893088828,230.0,166.8,189,0.0,False
sensor_003,0.12142237497002162,253.0,0.019220809267876726,33.0,0.0,196.0,0.0022802080663924815,202.0,0.0013654831901205985,152.0,167.2,190,0.0,False
sensor_156,0.8970861417205422,146.0,0.0017024613552092394,162.0,0.0,196.0,0.002370565221263693,194.0,0.0014457419972275876,141.0,167.8,191,0.0,False
sensor_412,0.17894953948943002,243.0,0.01890300165159542,34.0,0.0,196.0,0.0025905568250275675,167.0,0.0010683685825277336,210.0,170.0,192,0.0,False
